Time,Error,Delta_Error,PID_Output_Power,Measured_Temperature,True_Temperature,Setpoint,Ambient_Temp
770,0.22634071897052266,0.28273553914848293,0.0,24.773659281029477,25.36340130765492,25,25
771,-0.6453436345358199,-0.8716843535063425,0.0,25.64534363453582,25.361588836071586,25,25
772,-0.10907965557094101,0.5362639789648789,0.0,25.10907965557094,25.359785404227985,25,25
773,-0.957772946515405,-0.848693290944464,0.0,25.957772946515405,25.35799096703823,25,25
774,0.9460946047508436,1.9038675512662486,0.0,24.053905395249156,25.356205479641297,25,25
775,-0.48710224322643825,-1.4331968479772819,0.0,25.48710224322644,25.354428897399906,25,25
776,-0.13511125838368443,0.3519909848427538,0.0,25.135111258383684,25.35266117589941,25,25
777,-0.025666212927117016,0.10944504545656741,0.0,25.025666212927117,25.350902270946676,25,25
778,-0.1347587566764119,-0.10909254374929489,0.0,25.134758756676412,25.349152138568993,25,25
779,0.14850870758866463,0.28326746426507654,0.0,24.851491292411335,25.347410735012957,25,25
780,-0.8922871898265683,-1.040795897415233,0.0,25.89228718982657,25.345678016743392,25,25
781,0.1957399451195201,1.0880271349460884,0.0,24.80426005488048,25.34395394044225,25,25
782,-0.683243679664173,-0.8789836247836931,0.0,25.683243679664173,25.342238463007536,25,25
783,-0.29255855239108186,0.3906851272730911,0.0,25.292558552391082,25.34053154155222,25,25
784,-0.5312328076829225,-0.2386742552918406,0.0,25.531232807682922,25.33883313340318,25,25
785,-0.3885190501629623,0.14271375751996018,0.0,25.388519050162962,25.337143196100126,25,25
786,0.6066354004364527,0.995154450599415,0.0,24.393364599563547,25.33546168739453,25,25
787,-0.12117795380941843,-0.7278133542458711,0.0,25.12117795380942,25.333788565248593,25,25
788,-0.6613643045480266,-0.5401863507386082,0.0,25.661364304548027,25.33212378783417,25,25
789,-0.1360539222323034,0.5253103823157232,0.0,25.136053922232303,25.33046731353174,25,25
790,-0.02286868176815915,0.11318524046414424,0.0,25.02286868176816,25.328819100929362,25,25
791,0.8752076600500374,0.8980763418181965,0.0,24.124792339949963,25.327179108821632,25,25
792,-1.1777598880480689,-2.052967548098106,0.0,26.17775988804807,25.32554729620866,25,25
793,-0.5043038868307939,0.673456001217275,0.0,25.504303886830794,25.323923622295055,25,25
